V1,V2
-112.51,26.29
-112.52,26.29
-112.52,26.29
-112.53,26.29
-112.54,26.29
-112.54,26.30
-112.54,26.30
-112.54,26.31
-112.54,26.31
-112.53,26.32
-112.53,26.32
-112.54,26.33
-112.54,26.33
-112.55,26.33
-112.55,26.32
-112.56,26.32
-112.57,26.32
-112.57,26.32
-112.58,26.32
-112.58,26.32
-112.59,26.32
-112.60,26.32
-112.60,26.32
-112.61,26.33
-112.61,26.33
-112.61,26.33
-112.62,26.33
-112.62,26.34
-112.63,26.34
-112.64,26.34
-112.64,26.34
-112.65,26.33
-112.65,26.33
-112.66,26.33
-112.66,26.33
-112.67,26.33
-112.68,26.33
-112.68,26.34
-112.68,26.34
-112.69,26.34
-112.69,26.35
-112.69,26.35
-112.69,26.35
-112.70,26.35
-112.70,26.35
-112.70,26.36
-112.71,26.36
-112.71,26.36
-112.71,26.37
-112.72,26.37
-112.72,26.38
-112.73,26.38
-112.73,26.38
-112.73,26.38
-112.74,26.39
-112.74,26.39
-112.75,26.39
-112.75,26.40
-112.76,26.40
-112.76,26.40
-112.77,26.40
-112.77,26.41
-112.78,26.41
-112.78,26.41
-112.78,26.42
-112.78,26.42
-112.78,26.42
-112.77,26.43
-112.77,26.43
-112.77,26.44
-112.78,26.44
-112.78,26.44
-112.79,26.44
-112.79,26.44
-112.80,26.43
-112.81,26.44
-112.81,26.44
-112.81,26.44
-112.82,26.45
-112.82,26.45
-112.82,26.45
-112.83,26.46
-112.83,26.46
-112.84,26.46
-112.84,26.47
-112.84,26.47
-112.85,26.47
-112.85,26.48
-112.85,26.48
-112.86,26.48
-112.86,26.49
-112.86,26.49
-112.87,26.50
-112.87,26.50
-112.87,26.50
-112.88,26.51
-112.88,26.51
-112.88,26.52
-112.89,26.52
-112.89,26.52
-112.90,26.53
-112.90,26.53
-112.91,26.53
-112.91,26.53
-112.92,26.53
-112.93,26.53
-112.93,26.53
-112.94,26.53
-112.94,26.54
-112.94,26.54
-112.94,26.55
-112.95,26.55
-112.96,26.55
-112.97,26.55
-112.97,26.55
-112.98,26.55
-112.98,26.55
-112.99,26.56
-112.99,26.56
-113.00,26.56
-113.00,26.57
-113.00,26.57
-113.01,26.57
-113.01,26.58
-113.02,26.58
-113.02,26.58
-113.02,26.59
-113.02,26.59
-113.03,26.59
-113.03,26.60
-113.04,26.60
-113.04,26.61
-113.04,26.61
-113.05,26.61
-113.05,26.61
-113.06,26.62
-113.06,26.62
-113.07,26.62
-113.07,26.63
-113.07,26.63
-113.08,26.63
-113.08,26.63
-113.09,26.64
-113.09,26.64
-113.10,26.64
-113.10,26.65
-113.11,26.65
-113.10,26.65
-113.10,26.66
-113.10,26.66
-113.09,26.66
-113.09,26.67
-113.08,26.67
-113.08,26.67
-113.08,26.68
-113.08,26.69
-113.08,26.69
-113.09,26.69
-113.09,26.69
-113.09,26.68
-113.10,26.68
-113.10,26.68
-113.10,26.67
-113.11,26.67
-113.12,26.67
-113.12,26.68
-113.13,26.68
-113.13,26.68
-113.14,26.68
-113.14,26.68
-113.15,26.69
-113.15,26.69
-113.16,26.69
-113.17,26.69
-113.17,26.69
-113.18,26.69
-113.19,26.69
-113.19,26.70
-113.20,26.70
-113.20,26.70
-113.21,26.70
-113.21,26.70
-113.22,26.71
-113.22,26.71
-113.23,26.71
-113.23,26.72
-113.23,26.72
-113.23,26.72
-113.22,26.73
-113.22,26.73
-113.23,26.74
-113.23,26.74
-113.23,26.75
-113.23,26.76
-113.23,26.76
-113.23,26.77
-113.23,26.77
-113.23,26.78
-113.23,26.78
-113.22,26.79
-113.22,26.79
-113.21,26.79
-113.21,26.80
-113.20,26.80
-113.20,26.80
-113.20,26.80
-113.19,26.81
-113.19,26.81
-113.19,26.82
-113.18,26.82
-113.18,26.82
-113.18,26.83
-113.17,26.83
-113.17,26.83
-113.17,26.84
-113.16,26.84
-113.16,26.85
-113.16,26.85
-113.15,26.85
-113.15,26.86
-113.14,26.86
-113.14,26.86
-113.14,26.87
-113.13,26.87
-113.13,26.88
-113.13,26.88
-113.13,26.89
-113.13,26.89
-113.12,26.90
-113.12,26.90
-113.12,26.91
-113.13,26.91
-113.13,26.92
-113.13,26.93
-113.13,26.93
-113.13,26.94
-113.13,26.95
-113.13,26.95
-113.13,26.96
