Fecha,AEROMEX,ARA,ASURB,AUTLANB,AXTELCPO,BACHOCOB,BIMBOA,CEMEXCPO,CHDRAUIB,GCARSOA,GMEXICOB,GRUMAB,KIMBERA,KOF,LAMOSA,MEGACPO,MEXCHEM,MFRISCOA,PE¥OLES,VITROA
6/6/2012,21,3.960299,88.839226,11.035632,3.1,22.280218,28.887648,6.23021,32.820541,36.188648,32.359982,28.971163,18.778933,105.233528,14.105033,23.790043,46.18853,52.919998,504.359497,15.739386
7/6/2012,20.280001,4.056892,88.615791,11.110441,3.12,22.344828,29.005838,6.16445,32.898663,36.570564,32.342155,28.942282,19.012695,105.904953,14.105033,23.790043,46.906784,53.16,498.514404,15.680876
8/6/2012,20.299999,4.163144,87.418144,11.400331,3.16,22.344828,29.498297,6.20555,32.976784,37.781509,32.769825,29.847033,19.168537,106.853874,14.105033,23.79892,47.876305,53.889999,503.304321,15.680876
11/6/2012,20.66,4.134166,86.658463,11.390981,3.01,22.298679,29.153574,6.03294,32.742424,36.048923,31.976864,29.635283,18.934776,109.360512,14.105033,23.79892,47.894291,52.400002,481.740692,15.680876
12/6/2012,20.360001,4.21144,85.523392,11.260063,3,22.335594,29.508144,6.10692,33.054909,36.095497,31.451199,29.866282,18.810101,109.011375,14.105033,24.411428,47.612774,52.599998,487.246246,15.602861
13/6/2012,19.68,4.201781,85.979202,11.035632,2.92,22.446354,29.517994,5.86856,32.761951,36.356323,31.121544,30.251284,18.856857,110.237823,14.105033,24.411428,47.69376,51.630001,488.897888,15.505342
14/6/2012,20.1,4.230759,85.174828,11.203954,2.86,22.335594,30.040001,6.06582,33.836113,37.604527,31.754116,31.569901,18.942564,111.509056,14.105033,24.500193,48.269703,53.75,470.389923,15.602861
15/6/2012,20.08,4.308033,85.174828,11.783827,2.74,22.289448,30.463516,6.2713,33.670109,37.72562,32.680733,32.532398,18.872438,111.526962,14.014033,24.482441,47.423786,55.220001,469.811829,15.602861
18/6/2012,20.450001,4.317692,84.531326,11.727626,2.72,22.317139,30.493061,6.30418,33.601753,38.18206,33.803356,32.474651,19.324379,109.951378,14.014033,24.500193,48.044739,56.290001,492.751923,15.310308
19/6/2012,20.6,4.250078,88.302979,12.157879,2.81,22.335594,30.562008,6.55076,33.865414,38.750263,34.533939,33.138775,20.095795,109.826035,14.014033,24.677732,47.558823,55.900002,499.175049,15.554102
